Year Month Day Hour Week Region psychological_type Perpetrator Victim Bystander Complex_psychology Access_entertainment_facilities Smoking Drinking Drug Run_away Gambling Crime Pregnant Sexual_violence Sex Absence_without_leave Student_violence
2013.00	5.00	3.00	11.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00
2013.00	5.00	3.00	10.00	5.00	10.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	5.00	3.00	10.00	5.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	3.00	9.00	5.00	2.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	3.00	8.00	5.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	5.00	3.00	7.00	5.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	3.00	6.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	3.00	6.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	5.00	2.00	23.00	4.00	8.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	23.00	4.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	5.00	2.00	22.00	4.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	21.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	17.00	4.00	.00	4.00	.00	.00	.00	1.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	16.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	16.00	4.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	15.00	4.00	15.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	15.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	5.00	2.00	14.00	4.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	12.00	4.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	12.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	12.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	12.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	12.00	4.00	10.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	5.00	2.00	11.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	10.00	4.00	4.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	9.00	4.00	8.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	2.00	8.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	23.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	5.00	1.00	22.00	3.00	16.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	5.00	1.00	17.00	3.00	5.00	2.00	.00	1.00	.00	.00	1.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	17.00	3.00	16.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	5.00	1.00	15.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	15.00	3.00	16.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	5.00	1.00	14.00	3.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	5.00	1.00	14.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	5.00	1.00	13.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	13.00	3.00	17.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	5.00	1.00	12.00	3.00	6.00	4.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	12.00	3.00	6.00	4.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	12.00	3.00	6.00	4.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	12.00	3.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	8.00	3.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	4.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	3.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	5.00	1.00	.00	3.00	3.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	5.00	1.00	.00	3.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	23.00	2.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00
2013.00	4.00	30.00	20.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	18.00	2.00	6.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	17.00	2.00	6.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	17.00	2.00	6.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	17.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	14.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	13.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	12.00	2.00	8.00	3.00	.00	.00	1.00	.00	1.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	1.00	.00	.00
2013.00	4.00	30.00	11.00	2.00	8.00	3.00	.00	.00	1.00	.00	1.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	1.00	.00	.00
2013.00	4.00	30.00	11.00	2.00	8.00	3.00	.00	.00	1.00	.00	1.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	1.00	.00	.00
2013.00	4.00	30.00	10.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	30.00	10.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	30.00	10.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	30.00	10.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	30.00	9.00	2.00	16.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	4.00	30.00	9.00	2.00	9.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	30.00	8.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00
2013.00	4.00	30.00	7.00	2.00	8.00	3.00	.00	.00	1.00	.00	1.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	1.00	.00	.00
2013.00	4.00	30.00	7.00	2.00	8.00	3.00	.00	.00	1.00	.00	1.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	1.00	.00	.00
2013.00	4.00	30.00	3.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	30.00	1.00	2.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	22.00	1.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	19.00	1.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	19.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	4.00	29.00	18.00	1.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	17.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	4.00	29.00	16.00	1.00	10.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	15.00	1.00	.00	1.00	1.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	11.00	1.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	8.00	1.00	5.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	5.00	1.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	1.00	1.00	16.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	1.00	1.00	5.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	1.00	1.00	10.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	29.00	.00	1.00	.00	4.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	4.00	28.00	20.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	28.00	16.00	7.00	14.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	4.00	28.00	16.00	7.00	14.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	4.00	28.00	15.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	15.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	14.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	1.00	.00
2013.00	4.00	28.00	12.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	12.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	11.00	7.00	14.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	4.00	28.00	11.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	10.00	7.00	7.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	10.00	7.00	.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	28.00	1.00	7.00	.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	27.00	22.00	6.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	27.00	19.00	6.00	8.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	27.00	15.00	6.00	.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	27.00	9.00	6.00	3.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	27.00	9.00	6.00	9.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	27.00	9.00	6.00	8.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	27.00	8.00	6.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	23.00	5.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	21.00	5.00	3.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	21.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	21.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	21.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	20.00	5.00	.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	19.00	5.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	4.00	26.00	17.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	4.00	26.00	17.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	4.00	26.00	16.00	5.00	13.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	13.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	26.00	11.00	5.00	8.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	1.00	.00	.00	.00	.00
2013.00	4.00	26.00	8.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00
2013.00	4.00	26.00	6.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	26.00	3.00	5.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	22.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	22.00	4.00	16.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	22.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	14.00	4.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	11.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	9.00	4.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	25.00	3.00	4.00	8.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00
2013.00	4.00	25.00	1.00	4.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	22.00	3.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	21.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	19.00	3.00	12.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	12.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	14.00	3.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	3.00	3.00	4.00	3.00	.00	.00	1.00	.00	.00	1.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	1.00	3.00	13.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	24.00	1.00	3.00	6.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	24.00	1.00	3.00	6.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	23.00	23.00	2.00	8.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	23.00	22.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00
2013.00	4.00	23.00	21.00	2.00	14.00	1.00	1.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	23.00	20.00	2.00	4.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	23.00	17.00	2.00	13.00	1.00	1.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	23.00	15.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00
2013.00	4.00	23.00	10.00	2.00	.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	23.00	8.00	2.00	16.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	23.00	3.00	2.00	2.00	2.00	.00	1.00	.00	.00	.00	1.00	1.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	23.00	1.00	1.00	1.00	1.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	21.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	19.00	1.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	15.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	4.00	22.00	15.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	12.00	1.00	4.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	12.00	1.00	4.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	1.00	.00	.00	.00	.00
2013.00	4.00	22.00	12.00	1.00	.00	1.00	1.00	.00	.00	.00	.00	1.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	11.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	10.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	10.00	1.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	9.00	1.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	21.00	23.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	21.00	22.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00
2013.00	4.00	21.00	20.00	7.00	.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	21.00	18.00	7.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	4.00	21.00	10.00	7.00	14.00	2.00	.00	1.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00	1.00	1.00	.00
2013.00	4.00	21.00	1.00	7.00	.00	4.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	20.00	11.00	6.00	16.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00
2013.00	4.00	20.00	11.00	6.00	.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	1.00	.00
2013.00	4.00	20.00	3.00	6.00	3.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	20.00	1.00	6.00	.00	2.00	.00	1.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	21.00	5.00	.00	1.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	22.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	19.00	5.00	4.00	3.00	.00	.00	1.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	22.00	15.00	1.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	14.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	14.00	5.00	8.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	10.00	5.00	8.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	10.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	1.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	5.00	5.00	.00	2.00	.00	1.00	.00	.00	.00	.00	.00	.00	.00	.00	1.00	.00	.00	.00	.00	.00
2013.00	4.00	19.00	2.00	5.00	.00	4.00	.00	.00	.00	1.00	1.00	1.00	1.00	.00	1.00	1.00	1.00	.00	.00	1.00	1.00	.00
